Item1,Item2
723,79978612.147200003
724,79978674.71360001
725,79978737.267200008
726,79978799.6928
727,79978862.182400003
728,79978924.697600007
729,79978987.148800001
730,79979049.664000005
731,79979112.20480001
732,79979174.873600006
733,79979237.209600002
734,79979299.776000008
735,79979362.214400008
736,79979424.768000007
737,79979487.232000008
738,79979549.86240001
739,79979612.249600008
740,79979675.020800009
741,79979737.31840001
742,79979799.756800011
743,79979862.489600003
744,79979924.825599998
745,79979987.276800007
746,79980049.881600007
747,79980112.3072
748,79980174.963200003
749,79980237.363200009
750,79980299.891200006
751,79980362.483199999
752,79980424.857600003
753,79980487.577600002
754,79980549.875200003
755,79980612.544
756,79980674.944000006
757,79980737.433600008
758,79980800.089599997
759,79980862.387199998
760,79980925.145600006
761,79980987.404799998
762,79981050.048000008
763,79981112.576000005
764,79981175.091200009
765,79981237.465599999
766,79981300.13440001
767,79981362.521600008
768,79981424.960000008
769,79981487.449600011
770,79981550.105599999
771,79981612.44160001
772,79981675.110400006
773,79981737.497600004
774,79981800.217600003
775,79981862.592000008
776,79981925.0176
777,79981987.532800004
778,79982050.048000008
779,79982112.729599997
780,79982175.232000008
781,79982237.555200011
782,79982300.2368
783,79982362.662400007
784,79982425.958400011
785,79982487.769600004
786,79982550.272
787,79982612.60800001
788,79982675.110400006
789,79982737.676799998
790,79982800.320000008
791,79982862.656000003
792,79982925.439999998
793,79982987.788800001
794,79983050.252800003
795,79983112.806400001
796,79983175.359999999
797,79983237.683200002
798,79983300.224000007
799,79983362.726400003
800,79983425.216000006
801,79983487.807999998
802,79983550.284800008
803,79983612.723200008
804,79983675.328000009
805,79983737.715200007
806,79983800.192000002
807,79983862.873600006
808,79983925.4912
809,79983987.942400008
810,79984050.304000005
811,79984112.819200009
812,79984175.321600005
813,79984238.003200009
814,79984300.339200005
815,79984362.828800008
816,79984425.292800009
817,79984487.884800002
818,79984550.502400011
819,79984612.851199999
820,79984675.404799998
821,79984737.907200009
822,79984800.512000009
823,79984863.040000007
824,79984925.376000002
825,79984987.9296
826,79985050.393600002
827,79985113.049600005
828,79985175.449600011
829,79985237.913599998
830,79985300.416000009
831,79985363.046400011
832,79985425.446400002
833,79985488.217600003
834,79985550.425600007
835,79985613.145600006
836,79985675.596799999
837,79985737.983999997
838,79985800.588799998
839,79985862.988800004
840,79985925.465599999
841,79985988.044799998
842,79986050.483199999
843,79986113.139200002
844,79986175.513600007
845,79986238.16960001
846,79986300.851199999
847,79986363.161600009
848,79986425.484800011
849,79986488.217600003
850,79986550.668800011
851,79986613.209600002
852,79986675.584000006
853,79986738.214400008
854,79986800.588799998
855,79986863.0528
856,79986925.721600011
857,79986988.364800006
858,79987050.623999998
859,79987113.139200002
860,79987175.628800005
861,79987238.131200001
862,79987300.723200008
863,79987363.302400008
864,79987425.587200001
865,79987488.281599998
866,79987550.822400004
867,79987613.312000006
868,79987675.686400011
869,79987738.2016
870,79987800.755199999
871,79987863.372800007
872,79987925.811200008
873,79987988.275200009
874,79988050.841600001
875,79988113.203199998
876,79988175.936000004
877,79988238.259200007
878,79988300.940800011
879,79988363.430399999
880,79988425.740800008
881,79988488.486400008
882,79988551.014400005
883,79988613.542400002
884,79988675.96800001
885,79988738.483199999
886,79988800.7808
887,79988863.449600011
888,79988925.9648
889,79988988.505600005
890,79989050.816
891,79989113.395199999
892,79989175.884800002
893,79989238.361599997
894,79989301.0176
895,79989363.417600006
896,79989426.009599999
897,79989488.665600002
898,79989550.937600002
899,79989613.414399996
900,79989675.878399998
901,79989738.432000011
902,79989801.049600005
903,79989863.449600011
904,79989926.092800006
905,79989988.492799997
906,79990051.110400006
907,79990113.523200005
908,79990176.1664
909,79990238.64320001
910,79990301.158399999
911,79990363.468800008
912,79990425.983999997
913,79990488.627200007
914,79990551.065600008
915,79990613.580799997
916,79990676.198400006
917,79990738.534400001
918,79990801.164800003
919,79990863.552000001
920,79990926.195200011
921,79990988.723200008
922,79991051.097599998
923,79991113.728
924,79991176.255999997
925,79991238.681600004
926,79991301.132799998
927,79991363.571199998
928,79991426.09920001
929,79991488.652800009
930,79991551.193599999
931,79991613.7984
932,79991676.364800006
933,79991738.649599999
934,79991801.216000006
935,79991863.859200001
936,79991926.16960001
937,79991988.928000003
938,79992051.225600004
939,79992113.830400005
940,79992176.153600007
941,79992239.014400005
942,79992301.452800006
943,79992363.788800001
944,79992426.227200001
945,79992488.883200005
946,79992551.462400004
947,79992613.721600011
948,79992676.288000003
949,79992738.931199998
950,79992801.4208
951,79992863.974399999
952,79992926.272
953,79992988.940800011
954,79993051.456
955,79993113.958400011
956,79993176.4736
957,79993238.835199997
958,79993301.376000002
959,79993364.032000005
960,79993426.329600006
961,79993488.870399997
962,79993551.385600001
963,79993614.054399997
964,79993676.518399999
965,79993738.905599996
966,79993801.408000007
967,79993863.910400003
968,79993926.4384
969,79993988.953600004
970,79994051.430399999
971,79994113.920000002
972,79994176.409600005
973,79994239.129600003
974,79994301.452800006
975,79994363.955200002
976,79994426.5088
977,79994489.139200002
978,79994551.552000001
979,79994614.131200001
980,79994676.44160001
981,79994739.148800001
982,79994801.779200003
983,79994864.115199998
984,79994926.502400011
985,79994989.004800007
986,79995051.737599999
987,79995114.124799997
988,79995176.576000005
989,79995239.104000002
990,79995301.593600005
991,79995364.211199999
992,79995426.598399997
993,79995489.049600005
994,79995551.756800011
995,79995614.144000009
996,79995676.697600007
997,79995739.123199999
998,79995801.766400009
999,79995864.268800005
1000,79995926.668800011
1001,79995989.171200007
1002,79996051.635200009
1003,79996114.342399999
1004,79996176.640000001
1005,79996239.308799997
1006,79996301.875200003
1007,79996364.2368
1008,79996426.739200011
1009,79996489.228799999
1010,79996551.782399997
1011,79996614.527999997
1012,79996676.774400011
1013,79996739.238399997
1014,79996801.830400005
1015,79996864.230400011
1016,79996926.732800007
1017,79996989.312000006
1018,79997051.801600009
1019,79997114.40640001
1020,79997176.857600003
1021,79997239.411200002
1022,79997301.836800009
1023,79997364.326399997
1024,79997426.816
1025,79997489.4208
1026,79997552.012800008
1027,79997614.527999997
1028,79997676.812800005
1029,79997739.404799998
1030,79997801.868799999
1031,79997864.384000003
1032,79997926.924800009
1033,79997989.414399996
1034,79998052.044799998
1035,79998114.342399999
1036,79998177.049600005
1037,79998239.615999997
1038,79998302.144000009
1039,79998364.377599999
1040,79998427.136000007
1041,79998489.484800011
1042,79998552.115199998
1043,79998614.4384
1044,79998677.120000005
1045,79998739.622400001
1046,79998801.996800005
1047,79998864.588799998
1048,79998927.0528
1049,79998989.555200011
1050,79999051.96800001
1051,79999114.496000007
1052,79999176.998400003
1053,79999239.488000005
1054,79999302.028800011
1055,79999364.684799999
1056,79999427.148800001
1057,79999489.62560001
1058,79999552.3072
1059,79999614.540800005
1060,79999677.209600002
1061,79999739.814400002
1062,79999802.24000001
1063,79999864.704000011
1064,79999927.065600008
1065,79999989.721600011
1066,80000052.224000007
1067,80000114.611200005
1068,80000177.292800009
1069,80000239.564800009
1070,80000302.131200001
1071,80000364.774400011
1072,80000427.302400008
1073,80000489.907200009
1074,80000552.153600007
1075,80000614.796800002
1076,80000677.145600006
1077,80000739.82720001
1078,80000802.24000001
1079,80000864.84480001
1080,80000927.232000008
1081,80000989.887999997
1082,80001052.249600008
1083,80001114.892800003
1084,80001177.241600007
1085,80001239.8336
1086,80001302.259200007
1087,80001364.7104
1088,80001427.35360001
1089,80001490.009599999
1090,80001552.588799998
1091,80001614.848000005
1092,80001677.376000002
1093,80001739.9296
1094,80001802.470400006
1095,80001864.921599999
1096,80001927.321600005
1097,80001989.952000007
1098,80002052.556800008
1099,80002114.905599996
1100,80002177.62560001
1101,80002239.884800002
1102,80002302.425600007
1103,80002364.979200006
1104,80002427.520000011
1105,80002490.214400008
1106,80002552.588799998
1107,80002615.091200009
1108,80002677.414399996
1109,80002740.044799998
1110,80002802.521600008
1111,80002864.908800006
1112,80002927.42400001
1113,80002990.054399997
1114,80003052.454400003
1115,80003115.136000007
1116,80003177.497600004
1117,80003239.974399999
1118,80003302.681600004
1119,80003365.145600006
1120,80003427.648000002
1121,80003490.175999999
1122,80003552.652800009
1123,80003615.129600003
1124,80003677.4912
1125,80003739.993600011
1126,80003802.57280001
1127,80003865.062399998
1128,80003927.577600002
1129,80003990.067200005
1130,80004052.736000001
1131,80004115.225600004
1132,80004177.638400003
1133,80004240.089599997
1134,80004302.784000009
1135,80004365.068800002
1136,80004427.648000002
1137,80004490.188800007
1138,80004552.7808
1139,80004615.091200009
1140,80004677.849600002
1141,80004740.13440001
1142,80004802.598399997
1143,80004865.292800009
1144,80004927.654400006
1145,80004990.156800002
1146,80005052.748800009
1147,80005115.18720001
1148,80005177.856000006
1149,80005240.320000008
1150,80005302.681600004
1151,80005365.363200009
1152,80005427.724800006
1153,80005490.227200001
1154,80005552.806400001
1155,80005615.948799998
1156,80005677.86240001
1157,80005740.300800011
1158,80005802.790399998
1159,80005865.45920001
1160,80005927.769600004
1161,80005990.310400009
1162,80006052.979200006
1163,80006115.340800002
1164,80006177.766400009
1165,80006240.281599998
1166,80006302.976000011
1167,80006365.504000008
1168,80006427.891200006
1169,80006490.5088
1170,80006552.870399997
1171,80006615.488000005
1172,80006677.86240001
1173,80006740.454400003
1174,80006802.841600001
1175,80006865.548800007
1176,80006927.910400003
1177,80006990.412799999
1178,80007052.928000003
1179,80007115.571199998
1180,80007177.920000002
1181,80007240.447999999
1182,80007303.104000002
1183,80007365.4912
1184,80007427.955200002
1185,80007490.457599998
1186,80007553.049600005
1187,80007615.449600011
1188,80007678.16960001
1189,80007740.480000004
1190,80007803.238399997
1191,80007865.523200005
1192,80007928.192000002
1193,80007990.694399998
1194,80008053.056000009
1195,80008115.545599997
1196,80008178.009599999
1197,80008240.691200003
1198,80008303.206400007
1199,80008365.69600001
1200,80008428.121600002
1201,80008490.662400007
1202,80008553.036799997
1203,80008615.667199999
1204,80008678.156800002
1205,80008740.799999997
