FrameCounter,SystemTimestamp,LedState,Timestamp,Region0R,Region1G
239,2585.518016,0,78204982.18,0.003868574,0.003921569
240,2585.580512,0,78205042.18,0.003921569,0.003921569
241,2585.643008,2,78205112.17,0.010080351,0.027577819
242,2585.705504,1,78205172.17,0.021397471,0.018493873
243,2585.768,0,78205232.17,0.003921569,0.003921569
244,2585.830496,0,78205292.19,0.003921569,0.003921569
245,2585.892992,0,78205362.19,0.003921569,0.003921569
246,2585.95552,0,78205422.19,0.003921569,0.003921569
247,2586.018016,0,78205482.18,0.003921569,0.003921569
248,2586.080512,0,78205542.19,0.003921569,0.003921569
249,2586.143008,0,78205612.19,0.003868574,0.003921569
250,2586.205504,0,78205672.19,0.003921569,0.003921569
251,2586.268,0,78205732.19,0.003923717,0.003921569
252,2586.330496,0,78205792.19,0.003921569,0.003921569
253,2586.393024,0,78205862.19,0.003921569,0.003921569
254,2586.45552,0,78205922.18,0.003921569,0.003921569
255,2586.518016,0,78205982.18,0.003921569,0.003921569
256,2586.580512,0,78206042.2,0.003921569,0.003921569
257,2586.643008,2,78206112.2,0.010073905,0.027563113
258,2586.705504,1,78206172.19,0.021355935,0.018516544
259,2586.768,0,78206232.19,0.003868574,0.003921569
260,2586.830528,0,78206292.2,0.003921569,0.003921569
261,2586.893024,0,78206362.2,0.003921569,0.003921569
262,2586.95552,0,78206422.2,0.003921569,0.003921569
263,2587.018016,0,78206482.2,0.003921569,0.003921569
264,2587.080512,0,78206542.21,0.003921569,0.003921569
265,2587.143008,0,78206612.21,0.003921569,0.003921569
266,2587.205504,0,78206673.53,0.003921569,0.003921569
267,2587.268,0,78206733.53,0.003923717,0.003921569
268,2587.330528,0,78206793.52,0.003921569,0.003921569
269,2587.393024,0,78206863.52,0.003868574,0.003921569
270,2587.45552,0,78206923.54,0.003921569,0.003921569
271,2587.518016,0,78206983.53,0.003921569,0.003921569
272,2587.580512,0,78207043.52,0.003921569,0.003921569
273,2587.643008,2,78207113.52,0.010090377,0.027566176
274,2587.705504,1,78207173.53,0.02135307,0.018452819
275,2587.768,0,78207233.53,0.003921569,0.003921569
276,2587.830528,0,78207293.53,0.003921569,0.003921569
277,2587.892992,0,78207363.53,0.003921569,0.003921569
278,2587.95552,0,78207423.53,0.003921569,0.003921569
279,2588.018016,0,78207483.53,0.003868574,0.003921569
280,2588.080512,0,78207543.54,0.003921569,0.003921569
281,2588.143008,0,78207613.53,0.003921569,0.003921569
282,2588.205504,0,78207673.54,0.003921569,0.003921569
283,2588.268,0,78207733.53,0.003922285,0.003921569
284,2588.330496,0,78207793.53,0.003921569,0.003921569
285,2588.393024,0,78207863.54,0.003921569,0.003921569
286,2588.45552,0,78207923.54,0.003921569,0.003921569
287,2588.518016,0,78207983.54,0.003921569,0.003921569
288,2588.580512,0,78208043.54,0.003921569,0.003921569
289,2588.643008,2,78208113.54,0.009942852,0.027472426
290,2588.705504,1,78208173.55,0.021317263,0.018428309
291,2588.768,0,78208233.54,0.003921569,0.003921569
292,2588.830528,0,78208293.54,0.003921569,0.003921569
293,2588.893024,0,78208363.55,0.003921569,0.003921569
294,2588.95552,0,78208423.55,0.003921569,0.003921569
295,2589.018016,0,78208483.56,0.003921569,0.003921569
296,2589.080512,0,78208543.56,0.003921569,0.003921569
297,2589.143008,0,78208613.54,0.003921569,0.003921569
298,2589.205504,0,78208673.55,0.003921569,0.003921569
299,2589.268,0,78208733.56,0.003868574,0.003921569
300,2589.330528,0,78208793.55,0.003921569,0.003921569
301,2589.392992,0,78208863.55,0.003921569,0.003921569
302,2589.45552,0,78208923.56,0.003921569,0.003921569
303,2589.518016,0,78208983.56,0.003921569,0.003921569
304,2589.580512,0,78209043.56,0.003921569,0.003921569
305,2589.643008,2,78209113.55,0.009979375,0.027485294
306,2589.705504,1,78209173.55,0.021227746,0.018325368
307,2589.768,0,78209233.56,0.003921569,0.003921569
308,2589.830496,0,78209293.56,0.003921569,0.003921569
309,2589.893024,0,78209363.56,0.003868574,0.003921569
310,2589.95552,0,78209423.57,0.003921569,0.003921569
311,2590.018016,0,78209483.57,0.003921569,0.003921569
312,2590.080512,0,78209543.56,0.003921569,0.003921569
313,2590.143008,0,78209613.56,0.003921569,0.003921569
314,2590.205504,0,78209673.56,0.003921569,0.003921569
315,2590.268,0,78209733.57,0.003924433,0.003921569
316,2590.330528,0,78209793.57,0.003921569,0.003921569
317,2590.393024,0,78209863.57,0.003921569,0.003921569
318,2590.45552,0,78209923.57,0.003921569,0.003921569
319,2590.518016,0,78209983.58,0.003868574,0.003921569
320,2590.580512,0,78210043.57,0.003921569,0.003921569
321,2590.643008,2,78210113.57,0.010043111,0.027362745
322,2590.705504,1,78210173.57,0.021297927,0.018272672
323,2590.768,0,78210233.57,0.003921569,0.003921569
324,2590.830528,0,78210293.57,0.003921569,0.003921569
325,2590.893024,0,78210363.58,0.003921569,0.003921569
326,2590.95552,0,78210423.57,0.003921569,0.003921569
327,2591.018016,0,78210483.58,0.003921569,0.003921569
328,2591.080512,0,78210543.58,0.003921569,0.003921569
329,2591.143008,0,78210613.57,0.003868574,0.003921569
330,2591.205504,0,78210673.58,0.003921569,0.003921569
331,2591.268,0,78210733.58,0.003923001,0.003921569
332,2591.330528,0,78210793.58,0.003921569,0.003921569
333,2591.392992,0,78210863.58,0.003921569,0.003921569
334,2591.45552,0,78210923.57,0.003921569,0.003921569
335,2591.518016,0,78210983.58,0.003921569,0.003921569
336,2591.580512,0,78211043.59,0.003921569,0.003921569
337,2591.643008,2,78211113.58,0.010096822,0.027492647
338,2591.705504,1,78211173.58,0.021339463,0.01847549
339,2591.768,0,78211233.59,0.003868574,0.003921569
340,2591.830528,0,78211293.59,0.003921569,0.003921569
341,2591.892992,0,78211363.59,0.003921569,0.003921569
342,2591.95552,0,78211423.59,0.003921569,0.003921569
343,2592.018016,0,78211483.59,0.003921569,0.003921569
344,2592.080512,0,78211543.58,0.003921569,0.003921569
345,2592.143008,0,78211613.59,0.003921569,0.003921569
346,2592.205504,0,78211673.59,0.003921569,0.003921569
347,2592.268,0,78211733.59,0.003921569,0.003921569
348,2592.330528,0,78211793.6,0.003921569,0.003921569
349,2592.392992,0,78211863.59,0.003868574,0.003921569
350,2592.45552,0,78211923.59,0.003921569,0.003921569
351,2592.518016,0,78211983.6,0.003921569,0.003921569
352,2592.580512,0,78212043.6,0.003921569,0.003921569
353,2592.643008,2,78212113.59,0.010060299,0.027527574
354,2592.705504,1,78212173.61,0.02133087,0.018391544
355,2592.768,0,78212233.6,0.003921569,0.003921569
356,2592.830496,0,78212293.59,0.003921569,0.003921569
357,2592.893024,0,78212363.59,0.003921569,0.003921569
358,2592.95552,0,78212423.61,0.003921569,0.003921569
359,2593.018016,0,78212483.61,0.003868574,0.003921569
360,2593.080512,0,78212543.6,0.003921569,0.003921569
361,2593.143008,0,78212613.6,0.003921569,0.003921569
362,2593.205504,0,78212673.61,0.003921569,0.003921569
363,2593.268,0,78212733.61,0.003922285,0.003921569
364,2593.330496,0,78212793.61,0.003921569,0.003921569
365,2593.393024,0,78212863.6,0.003921569,0.003921569
366,2593.45552,0,78212923.6,0.003921569,0.003921569
367,2593.518016,0,78212983.61,0.003921569,0.003921569
368,2593.580512,0,78213043.62,0.003921569,0.003921569
369,2593.643008,2,78213113.6,0.01002664,0.027515931
370,2593.705504,1,78213173.6,0.021286469,0.018436887
371,2593.768,0,78213233.62,0.003921569,0.003921569
372,2593.830528,0,78213293.62,0.003921569,0.003921569
373,2593.893024,0,78213363.61,0.003921569,0.003921569
374,2593.95552,0,78213423.62,0.003921569,0.003921569
375,2594.018016,0,78213483.62,0.003921569,0.003921569
376,2594.080512,0,78213543.62,0.003921569,0.003921569
377,2594.143008,0,78213613.61,0.003921569,0.003921569
378,2594.205504,0,78213673.62,0.003921569,0.003921569
379,2594.268,0,78213733.61,0.003868574,0.003921569
380,2594.330528,0,78213793.62,0.003921569,0.003921569
381,2594.393024,0,78213863.61,0.003921569,0.003921569
382,2594.45552,0,78213923.62,0.003921569,0.003921569
383,2594.518016,0,78213983.63,0.003921569,0.003921569
384,2594.580512,0,78214043.62,0.003921569,0.003921569
385,2594.643008,2,78214113.62,0.010114725,0.027455882
386,2594.705504,1,78214173.63,0.021368825,0.018485907
387,2594.768,0,78214233.63,0.003921569,0.003921569
388,2594.830528,0,78214293.63,0.003921569,0.003921569
389,2594.892992,0,78214363.62,0.003868574,0.003921569
390,2594.95552,0,78214423.63,0.003921569,0.003921569
391,2595.018048,0,78214483.63,0.003921569,0.003921569
392,2595.080544,0,78214543.63,0.003921569,0.003921569
393,2595.14304,0,78214613.62,0.003921569,0.003921569
394,2595.205536,0,78214673.64,0.003921569,0.003921569
395,2595.268032,0,78214733.64,0.003923001,0.003921569
396,2595.330528,0,78214793.63,0.003921569,0.003921569
397,2595.393024,0,78214863.63,0.003921569,0.003921569
398,2595.455552,0,78214923.64,0.003921569,0.003921569
399,2595.518048,0,78214983.64,0.003868574,0.003921569
400,2595.580544,0,78215043.64,0.003921569,0.003921569
401,2595.64304,2,78215113.63,0.010056718,0.027577206
402,2595.705536,1,78215173.64,0.021361664,0.01843076
403,2595.768032,0,78215233.64,0.003921569,0.003921569
404,2595.830528,0,78215293.64,0.003921569,0.003921569
405,2595.893056,0,78215363.63,0.003921569,0.003921569
406,2595.955552,0,78215423.64,0.003921569,0.003921569
407,2596.018048,0,78215483.65,0.003921569,0.003921569
408,2596.080544,0,78215543.64,0.003921569,0.003921569
409,2596.14304,0,78215613.64,0.003868574,0.003921569
410,2596.205536,0,78215673.65,0.003921569,0.003921569
411,2596.268032,0,78215733.65,0.003925149,0.003921569
412,2596.33056,0,78215793.64,0.003921569,0.003921569
413,2596.393056,0,78215863.64,0.003921569,0.003921569
414,2596.455552,0,78215923.64,0.003921569,0.003921569
415,2596.518048,0,78215983.64,0.003921569,0.003921569
416,2596.580544,0,78216043.66,0.003921569,0.003921569
417,2596.64304,2,78216113.64,0.010009453,0.027553309
418,2596.705536,1,78216173.64,0.021315831,0.018401348
419,2596.768032,0,78216233.65,0.003868574,0.003921569
420,2596.83056,0,78216293.65,0.003921569,0.003921569
421,2596.893056,0,78216363.65,0.003921569,0.003921569
422,2596.955552,0,78216423.65,0.003921569,0.003921569
423,2597.018048,0,78216483.66,0.003921569,0.003921569
424,2597.080544,0,78216543.65,0.003921569,0.003921569
425,2597.14304,0,78216613.65,0.003921569,0.003921569
426,2597.205536,0,78216673.65,0.003921569,0.003921569
427,2597.268032,0,78216733.65,0.003922285,0.003921569
428,2597.33056,0,78216793.67,0.003921569,0.003921569
429,2597.393024,0,78216863.65,0.003868574,0.003921569
430,2597.455552,0,78216923.66,0.003921569,0.003921569
431,2597.518048,0,78216983.66,0.003921569,0.003921569
432,2597.580544,0,78217043.66,0.003921569,0.003921569
433,2597.64304,2,78217113.66,0.010044544,0.027552083
434,2597.705536,1,78217173.67,0.021334451,0.018390319
435,2597.768032,0,78217233.67,0.003921569,0.003921569
436,2597.83056,0,78217293.66,0.003921569,0.003921569
437,2597.893024,0,78217363.66,0.003921569,0.003921569
438,2597.955552,0,78217423.67,0.003921569,0.003921569
439,2598.018048,0,78217483.67,0.003868574,0.003921569
440,2598.080544,0,78217543.67,0.003921569,0.003921569
441,2598.14304,0,78217613.66,0.003921569,0.003921569
442,2598.205536,0,78217673.68,0.003921569,0.003921569
443,2598.268032,0,78217733.68,0.003923717,0.003921569
444,2598.330528,0,78217793.68,0.003921569,0.003921569
445,2598.393056,0,78217863.67,0.003921569,0.003921569
446,2598.455552,0,78217923.68,0.003921569,0.003921569
447,2598.518048,0,78217983.68,0.003921569,0.003921569
448,2598.580544,0,78218043.68,0.003921569,0.003921569
449,2598.64304,2,78218113.67,0.009955027,0.027462623
450,2598.705536,1,78218173.68,0.021318695,0.018342525
451,2598.768032,0,78218233.68,0.003921569,0.003921569
452,2598.83056,0,78218293.68,0.003921569,0.003921569
453,2598.893056,0,78218363.67,0.003921569,0.003921569
454,2598.955552,0,78218423.67,0.003921569,0.003921569
455,2599.018048,0,78218483.67,0.003921569,0.003921569
456,2599.080544,0,78218543.67,0.003921569,0.003921569
457,2599.14304,0,78218607.82,0.003921569,0.003921569
458,2599.205536,0,78218667.83,0.003921569,0.003921569
459,2599.268032,0,78218737.82,0.003868574,0.003921569
460,2599.33056,0,78218797.83,0.003921569,0.003921569
461,2599.393024,0,78218857.83,0.003921569,0.003921569
462,2599.455552,0,78218917.83,0.003921569,0.003921569
463,2599.518048,0,78218987.83,0.003921569,0.003921569
464,2599.580544,0,78219047.83,0.003921569,0.003921569
465,2599.64304,2,78219107.84,0.010043828,0.027492647
466,2599.705536,1,78219167.83,0.021285753,0.018314951
467,2599.768032,0,78219237.84,0.003921569,0.003921569
468,2599.830528,0,78219297.84,0.003921569,0.003921569
469,2599.893056,0,78219357.84,0.003868574,0.003921569
470,2599.955552,0,78219417.85,0.003921569,0.003921569
471,2600.018048,0,78219487.83,0.003921569,0.003921569
472,2600.080544,0,78219547.83,0.003921569,0.003921569
473,2600.14304,0,78219607.84,0.003921569,0.003921569
474,2600.205536,0,78219667.84,0.003921569,0.003921569
475,2600.268032,0,78219737.85,0.003922285,0.003921569
476,2600.33056,0,78219797.85,0.003921569,0.003921569
477,2600.393056,0,78219857.85,0.003921569,0.003921569
478,2600.455552,0,78219917.85,0.003921569,0.003921569
479,2600.518048,0,78219987.83,0.003868574,0.003921569
480,2600.580544,0,78220047.84,0.003921569,0.003921569
481,2600.64304,2,78220107.85,0.009993698,0.02733027
482,2600.705536,1,78220167.84,0.021220585,0.018194853
483,2600.768032,0,78220237.85,0.003921569,0.003921569
484,2600.83056,0,78220297.84,0.003921569,0.003921569
485,2600.893024,0,78220357.85,0.003921569,0.003921569
486,2600.955552,0,78220417.85,0.003921569,0.003921569
487,2601.018048,0,78220487.86,0.003921569,0.003921569
488,2601.080544,0,78220547.85,0.003921569,0.003921569
489,2601.14304,0,78220609.24,0.003868574,0.003921569
490,2601.205536,0,78220669.24,0.003921569,0.003921569
491,2601.268032,0,78220729.24,0.003922285,0.003921569
492,2601.33056,0,78220799.24,0.003921569,0.003921569
493,2601.393024,0,78220859.24,0.003921569,0.003921569
494,2601.455552,0,78220919.24,0.003921569,0.003921569
495,2601.518048,0,78220979.24,0.003921569,0.003921569
496,2601.580544,0,78221049.24,0.003921569,0.003921569
