FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,Region0R,Region1G
9456,1686.089216,0,77305560.47,0.003921569,0.003921569
9457,1686.151712,2,77305630.45,0.015887509,0.053917279
9458,1686.214208,1,77305690.46,0.027395122,0.035447917
9459,1686.276704,0,77305750.46,0.003868574,0.003921569
9460,1686.3392,0,77305810.47,0.003921569,0.003921569
9461,1686.401696,0,77305880.47,0.003921569,0.003921569
9462,1686.464224,0,77305940.47,0.003921569,0.003921569
9463,1686.52672,0,77306000.47,0.003921569,0.003921569
9464,1686.589216,0,77306060.46,0.003921569,0.003921569
9465,1686.651712,0,77306130.47,0.003921569,0.003921569
9466,1686.714208,0,77306190.47,0.003921569,0.003921569
9467,1686.776704,0,77306250.47,0.003922285,0.003921569
9468,1686.8392,0,77306310.47,0.003921569,0.003921569
9469,1686.901728,0,77306380.48,0.003868574,0.003921569
9470,1686.964224,0,77306440.47,0.003921569,0.003921569
9471,1687.02672,0,77306500.47,0.003921569,0.003921569
9472,1687.089216,0,77306560.46,0.003921569,0.003921569
9473,1687.151712,2,77306630.47,0.01586889,0.053845588
9474,1687.214208,1,77306690.47,0.027333534,0.035296569
9475,1687.276704,0,77306750.48,0.003921569,0.003921569
9476,1687.339232,0,77306810.47,0.003921569,0.003921569
9477,1687.401728,0,77306880.48,0.003921569,0.003921569
9478,1687.464224,0,77306940.47,0.003921569,0.003921569
9479,1687.52672,0,77307000.47,0.003868574,0.003921569
9480,1687.589216,0,77307060.49,0.003921569,0.003921569
9481,1687.651712,0,77307130.48,0.003921569,0.003921569
9482,1687.714208,0,77307190.48,0.003921569,0.003921569
9483,1687.776704,0,77307250.47,0.003922285,0.003921569
9484,1687.839232,0,77307310.48,0.003921569,0.003921569
9485,1687.901728,0,77307380.49,0.003921569,0.003921569
9486,1687.964224,0,77307440.49,0.003921569,0.003921569
9487,1688.02672,0,77307500.49,0.003921569,0.003921569
9488,1688.089216,0,77307560.49,0.003921569,0.003921569
9489,1688.151712,2,77307630.48,0.015851702,0.054020221
9490,1688.214208,1,77307690.48,0.027330669,0.03536152
9491,1688.276704,0,77307750.49,0.003921569,0.003921569
9492,1688.339232,0,77307810.49,0.003921569,0.003921569
9493,1688.401696,0,77307880.48,0.003921569,0.003921569
9494,1688.464224,0,77307940.48,0.003921569,0.003921569
9495,1688.52672,0,77308000.48,0.003921569,0.003921569
9496,1688.589216,0,77308060.48,0.003921569,0.003921569
9497,1688.651712,0,77308130.49,0.003921569,0.003921569
9498,1688.714208,0,77308190.49,0.003921569,0.003921569
9499,1688.776704,0,77308250.49,0.003868574,0.003921569
9500,1688.8392,0,77308310.49,0.003921569,0.003921569
9501,1688.901696,0,77308380.49,0.003921569,0.003921569
9502,1688.964224,0,77308440.49,0.003921569,0.003921569
9503,1689.02672,0,77308500.49,0.003921569,0.003921569
9504,1689.089216,0,77308560.49,0.003921569,0.003921569
9505,1689.151712,2,77308630.49,0.015840244,0.053900123
9506,1689.214208,1,77308690.49,0.027399418,0.035342525
9507,1689.276704,0,77308750.49,0.003921569,0.003921569
9508,1689.3392,0,77308810.49,0.003921569,0.003921569
9509,1689.401728,0,77308880.49,0.003868574,0.003921569
9510,1689.464224,0,77308940.49,0.003921569,0.003921569
